!sil	SIL
'c'que	s k
suffît	s y f i
sug	s u ɡ
sugar	s y ɡ a ʁ
suggestion	s y ɡ ʒ ɛ s t j ɔ̃
suggestions	s y ɡ ʒ ɛ s t j ɔ̃
suggère	s y ɡ ʒ ɛ ʁ
suggère-t-il	s y ɡ ʒ ɛ ʁ t i l
suggéra	s y ɡ ʒ e ʁ a
suggéraient	s y ɡ ʒ e ʁ ɛ
suggérait	s y ɡ ʒ e ʁ ɛ
suggérer	s y ɡ ʒ e ʁ e
suggérez-moi	s y ɡ ʒ e ʁ e m w a
suggérons	s y ɡ ʒ e ʁ ɔ̃
suggéré	s y ɡ ʒ e ʁ e
suggérée	s y ɡ ʒ e ʁ e
suggérées	s y ɡ ʒ e ʁ e
suggérés	s y ɡ ʒ e ʁ e
suguenot	s y ɡ ə n o
sui	s ɥ i
suicidaire	s ɥ i s i d ɛ ʁ
suicide	s ɥ i s i d
suicident	s ɥ i s i d
suicider	s ɥ i s i d e
suiciderait-il	s ɥ i s i d ə ʁ ɛ t i l
suicides	s ɥ i s i d
suicidé	s ɥ i s i d e
suie	s ɥ i
suif	s ɥ i f
suiliens	s ɥ i l j ɛ̃
suilliens	s ɥ i l j ɛ̃
suint	s ɥ ɛ̃
suintaient	s ɥ ɛ̃ t ɛ
suintait	s ɥ ɛ̃ t ɛ
suintant	s ɥ ɛ̃ t ɑ̃
suintement	s ɥ ɛ̃ t m ɑ̃
suintements	s ɥ ɛ̃ t m ɑ̃
suintent	s ɥ ɛ̃ t
suippes	s ɥ i p
suis	s ɥ i
suis-je	s ɥ i ʒ
suis-la	s ɥ i l a
suis-le	s ɥ i l ə
suis-moi	s ɥ i m w a
suis-nous	s ɥ i n u
suisse	s ɥ i s
suisses	s ɥ i s
suissesse	s ɥ i s ɛ s
suit	s ɥ i
suit-il	s ɥ i t i l
suite	s ɥ i t
suites	s ɥ i t
suivaient	s ɥ i v ɛ
suivais	s ɥ i v ɛ
suivait	s ɥ i v ɛ
suivait-elle	s ɥ i v ɛ t ɛ l
suivait-il	s ɥ i v ɛ t i l
suivant	s ɥ i v ɑ̃
suivante	s ɥ i v ɑ̃ t
suivantes	s ɥ i v ɑ̃ t
suivants	s ɥ i v ɑ̃
suive	s ɥ i v
suivent	s ɥ i v
suivent-ils	s ɥ i v t i l
suiveur	s ɥ i v œ ʁ
suivez	s ɥ i v e
suivez-en	s ɥ i v e z ɑ̃
suivez-la	s ɥ i v e l a
suivez-le	s ɥ i v e l ə
suivez-moi	s ɥ i v e m w a
suivez-nous	s ɥ i v e n u
suivi	s ɥ i v i
suivie	s ɥ i v i
suivies	s ɥ i v i
suiviez	s ɥ i v j e
suivions	s ɥ i v j ɔ̃
suivirent	s ɥ i v i ʁ
suivis	s ɥ i v i
suivit	s ɥ i v i
suivons	s ɥ i v ɔ̃
suivons-le	s ɥ i v ɔ̃ l ə
suivra	s ɥ i v ʁ a
suivrai	s ɥ i v ʁ e
suivraient	s ɥ i v ʁ ɛ
suivraient-elles	s ɥ i v ʁ ɛ t ɛ l
suivraient-ils	s ɥ i v ʁ ɛ t i l
suivrais	s ɥ i v ʁ ɛ
suivrait	s ɥ i v ʁ ɛ
suivrait-elle	s ɥ i v ʁ ɛ t ɛ l
suivrait-il	s ɥ i v ʁ ɛ t i l
suivre	s ɥ i v ʁ
suivrez	s ɥ i v ʁ e
suivriez	s ɥ i v ʁ i j e
suivrons	s ɥ i v ʁ ɔ̃
suivrons-nous	s ɥ i v ʁ ɔ̃ n u
suivront	s ɥ i v ʁ ɔ̃
suivîmes	s ɥ i v i m
suivît	s ɥ i v i
suiza	s ɥ i z a
suj	s y ʒ i
sujet	s y ʒ ɛ
sujet-là	s y ʒ ɛ l a
sujets	s y ʒ ɛ
sujette	s y ʒ ɛ t
sujettes	s y ʒ ɛ t
sukhumi	s u k y m i
suleau	s u l o
suleyman	s y l ɛ m a n
suleïmanièh	s y l ɛ j m ɑ̃ ɲ ɛ
sulfate	s y l f a t
sulfhydrique	s y l f i d ʁ i k
sulfure	s y l f y ʁ
sulfureuse	s y l f y ʁ ø z
sulfureuses	s y l f y ʁ ø z
sulfureux	s y l f y ʁ ø
sulfurique	s y l f y ʁ i k
sulfuré	s y l f y ʁ e
sulfurée	s y l f y ʁ e
sulfurées	s y l f y ʁ e
sulina	s y l i n a
sully	s y l i
sully-morland	s y l i m ɔ ʁ l ɑ̃ d
sulpture	s y l p t y ʁ
sultan	s y l t ɑ̃
sultan-ahmed	s y l t a n a m ɛ d
sultane	s y l t ɑ̃
sultanes	s y l t a n
sultans	s y l t ɑ̃
sum	s u m
suma	s y m a
sumac	s y m a k
summer	s y m e
sund	s œ n d
sunday	s œ n d ɛ j
sundenheim	s œ n d ə n a j m
sunderland	s œ n d ɛ ʁ l ɑ̃ d
sup	s y p
super	s y p ɛ ʁ
super-contente	s y p ɛ ʁ k ɔ̃ t ɑ̃ t
super-héros	s y p ɛ ʁ e ʁ o
super-héroïne	s y p ɛ ʁ e ʁ ɔ i n
super-intelligence	s y p ɛ ʁ ɛ̃ t e l i ʒ ɑ̃ s
superbe	s y p ɛ ʁ b
superbement	s y p ɛ ʁ b ə m ɑ̃
superbes	s y p ɛ ʁ b
supercherie	s y p ɛ ʁ ʃ ə ʁ i
supercheries	s y p ɛ ʁ ʃ ə ʁ i
superficie	s y p ɛ ʁ f i s i
superficiel	s y p ɛ ʁ f i s j ɛ l
superficielle	s y p ɛ ʁ f i s j ɛ l
superficielles	s y p ɛ ʁ f i s j ɛ l
superficiels	s y p ɛ ʁ f i s j ɛ l
superflu	s y p ɛ ʁ f l y
superflue	s y p ɛ ʁ f l y
superflues	s y p ɛ ʁ f l y
superfluité	s y p ɛ ʁ f l ɥ i t e
superflus	s y p ɛ ʁ f l y
superfétation	s y p ɛ ʁ f e t a s j ɔ̃
superfétatoire	s y p ɛ ʁ f e t a t w a ʁ
superlativement	s y p ɛ ʁ l a t i v m ɑ̃
superman	s y p ɛ ʁ m a n
supermarché	s y p ɛ ʁ m a ʁ ʃ e
supermarchés	s y p ɛ ʁ m a ʁ ʃ e
supermarchés-là	s y p ɛ ʁ m a ʁ ʃ e l a
superposaient	s y p ɛ ʁ p o z ɛ
superpose	s y p ɛ ʁ p o z
superposent	s y p ɛ ʁ p o z
superposer	s y p ɛ ʁ p o z e
superposé	s y p ɛ ʁ p o z e
superposées	s y p ɛ ʁ p o z e
superposés	s y p ɛ ʁ p o z e
superpurgation	s y p ɛ ʁ p y ʁ ɡ a s j ɔ̃
supers	s y p ɛ ʁ
superstitieuse	s y p ɛ ʁ s t i s j ø z
superstitieuses	s y p ɛ ʁ s t i s j ø z
superstitieux	s y p ɛ ʁ s t i s j ø
superstition	s y p ɛ ʁ s t i s j ɔ̃
superstitions	s y p ɛ ʁ s t i s j ɔ̃
superville	s y p ɛ ʁ v i l
supervis	s y p ɛ ʁ v i
superviseur	s y p ɛ ʁ v i z œ ʁ
superviseurs	s y p ɛ ʁ v i z œ ʁ
supervisée	s y p ɛ ʁ v i z e
superwoman	s y p ɛ ʁ w u m a n
suplémentaires	s y p l e m ɑ̃ t ɛ ʁ
supplanter	s y p l ɑ̃ t e
supplia	s y p l i j a
supplia-t-il	s y p l i j a t i l
suppliai	s y p l i j e
suppliaient	s y p l i j ɛ
suppliais	s y p l i j ɛ
suppliait	s y p l i j ɛ
suppliant	s y p l i j ɑ̃
suppliante	s y p l i j ɑ̃ t
suppliantes	s y p l i j ɑ̃ t
suppliants	s y p l i j ɑ̃
supplication	s y p l i k a s j ɔ̃
supplications	s y p l i k a s j ɔ̃
supplice	s y p l i s
supplices	s y p l i s
suppliciés	s y p l i s j e
supplie	s y p l i
supplient	s y p l i
supplier	s y p l i j e
suppliera	s y p l i ʁ a
supplierai	s y p l i ʁ e
suppliez	s y p l i j e
supplique	s y p l i k
supplié	s y p l i j e
suppléa	s y p l e a
suppléaient	s y p l e ɛ
suppléait	s y p l e ɛ
suppléant	s y p l e ɑ̃
suppléante	s y p l e ɑ̃ t
supplée	s y p l e
suppléer	s y p l e e
supplément	s y p l e m ɑ̃
supplémentaire	s y p l e m ɑ̃ t ɛ ʁ
supplémentaires	s y p l e m ɑ̃ t ɛ ʁ
suppléments	s y p l e m ɑ̃
suppléé	s y p l e e
support	s y p ɔ ʁ
supporta	s y p ɔ ʁ t a
supportable	s y p ɔ ʁ t a b l
supportables	s y p ɔ ʁ t a b l
supportaient	s y p ɔ ʁ t ɛ
supportais	s y p ɔ ʁ t ɛ
supportait	s y p ɔ ʁ t ɛ
supportant	s y p ɔ ʁ t ɑ̃
supporte	s y p ɔ ʁ t
supportent	s y p ɔ ʁ t
supporter	s y p ɔ ʁ t e
supporterai	s y p ɔ ʁ t ə ʁ e
supporteraient	s y p ɔ ʁ t ə ʁ ɛ
supporterais	s y p ɔ ʁ t ə ʁ ɛ
supporterait	s y p ɔ ʁ t ə ʁ ɛ
supporteront	s y p ɔ ʁ t ə ʁ ɔ̃
supporters	s y p ɔ ʁ t e ɛ ʁ
supportes	s y p ɔ ʁ t
supports	s y p ɔ ʁ
supporté	s y p ɔ ʁ t e
supportée	s y p ɔ ʁ t e
supportées	s y p ɔ ʁ t e
supportés	s y p ɔ ʁ t e
supposa	s y p o z a
supposable	s y p ɔ z a b l
supposai	s y p o z e
supposaient	s y p o z ɛ
supposais	s y p o z ɛ
supposait	s y p o z ɛ
supposant	s y p o z ɑ̃
suppose	s y p o z
suppose-toi	s y p o z t w a
supposent	s y p o z
supposer	s y p o z e
supposerais	s y p o z ə ʁ ɛ
supposerait	s y p o z ə ʁ ɛ
supposeriez	s y p o z ə ʁ j e
supposez	s y p o z e
supposez-vous	s y p o z e v u
supposition	s y p o z i s j ɔ̃
suppositions	s y p ɔ z i s j ɔ̃
supposons	s y p o z ɔ̃
supposât	s y p o z a
supposé	s y p o z e
supposée	s y p o z e
supposés	s y p o z e
suppression	s y p ʁ e s j ɔ̃
suppressions	s y p ʁ e s j ɔ̃
supprima	s y p ʁ i m a
supprimait	s y p ʁ i m ɛ
supprimant	s y p ʁ i m ɑ̃
supprime	s y p ʁ i m
suppriment	s y p ʁ i m
supprimer	s y p ʁ i m e
supprimera	s y p ʁ i m ə ʁ a
supprimerai	s y p ʁ i m ə ʁ e
supprimerait	s y p ʁ i m ə ʁ ɛ
supprimerez	s y p ʁ i m ə ʁ e
supprimez	s y p ʁ i m e
supprimé	s y p ʁ i m e
supprimée	s y p ʁ i m e
supprimées	s y p ʁ i m e
supprimés	s y p ʁ i m e
suppuration	s y p y ʁ a s j ɔ̃
suppurer	s y p y ʁ e
supputations	s y p y t a s j ɔ̃
suppute	s y p y t
supputer	s y p y t e
suppôt	s y p o
suppôts	s y p ɔ
supression	s y p ʁ e s j ɔ̃
suprématie	s y p ʁ e m a s i
suprême	s y p ʁ ɛ m
suprêmement	s y p ʁ ɛ m m ɑ̃
suprêmes	s y p ʁ ɛ m
supérette-là	s y p e ʁ ɛ t l a
supérieur	s y p e ʁ j œ ʁ
supérieur-là	s y p e ʁ j œ ʁ l a
supérieure	s y p e ʁ j œ ʁ
supérieurement	s y p e ʁ j œ ʁ m ɑ̃
supérieures	s y p e ʁ j œ ʁ
supérieurs	s y p e ʁ j œ ʁ
supériorité	s y p e ʁ j ɔ ʁ i t e
sur	s y ʁ
sur-brioux	s y ʁ b ʁ j u
sur-effectif	s y ʁ ɛ f ɛ k t i f
sur-immenses	s y ʁ i m ɑ̃ s
sur-le-champ	s y ʁ l ə ʃ ɑ̃
sur-loire	s y ʁ l w a ʁ
sur-mer	s y ʁ m ɛ ʁ
sur-sarthe	s y ʁ s a ʁ t
sur-vesgre	s y ʁ v e s ɡ ʁ
sur-vie	s y ʁ v i
sur-vieux-jonc	s y ʁ v j ø ʒ ɔ̃
sur-vire	s y ʁ v i ʁ
surabondait	s y ʁ a b ɔ̃ d ɛ
surabondamment	s y ʁ a b ɔ̃ d a m ɑ̃
surabondante	s y ʁ a b ɔ̃ d ɑ̃ t
suraigü	s y ʁ e ɡ y
suranné	s y ʁ a n e
surannées	s y ʁ a n e
surbaissant	s y ʁ b ɛ s ɑ̃
surbaissé	s y ʁ b ɛ s e
surbaissée	s y ʁ b ɛ s e
surbaissés	s y ʁ b ɛ s e
surbordonné	s y ʁ b ɔ ʁ d ɔ n e
surbourg	s y ʁ b u ʁ
surcharge	s y ʁ ʃ a ʁ ʒ
surchargeaient	s y ʁ ʃ a ʁ ʒ ɛ
surchargeait	s y ʁ ʃ a ʁ ʒ ɛ
surchargeant	s y ʁ ʃ a ʁ ʒ ɑ̃
surchargent	s y ʁ ʃ a ʁ ʒ
surcharger	s y ʁ ʃ a ʁ ʒ e
surchargé	s y ʁ ʃ a ʁ ʒ e
surchargée	s y ʁ ʃ a ʁ ʒ e
surchargés	s y ʁ ʃ a ʁ ʒ e
surchauffer	s y ʁ ʃ ɔ f e
surchauffeurs	s y ʁ ʃ o f œ ʁ
surchauffée	s y ʁ ʃ o f e
surconscience	s y ʁ k ɔ̃ s j ɑ̃ s
surcotation	s y ʁ k ɔ t a s j ɔ̃
surcouf	s y ʁ k u f
surcoût	s y ʁ k u
surcoûts	s y ʁ k u
surcroît	s y ʁ k ʁ w a
surdité	s y ʁ d i t e
sure	s y ʁ
sureau	s y ʁ o
sureaux	s y ʁ o
sureddi	s y ʁ ɛ d i
surement	s y ʁ m ɑ̃
surenchère	s y ʁ ɑ̃ ʃ ɛ ʁ
surennes	s y ʁ ɛ n
surent	s y ʁ
suresh	s y ʁ ɛ ʃ
suresnes	s y ʁ ɛ n
suresnois	s y ʁ ɛ n w a
suresnoise	s y ʁ ɛ n w a z
surestimation	s y ʁ ɛ s t i m a s j ɔ̃
surestimer	s y ʁ ɛ s t i m e
surestimons	s y ʁ ɛ s t i m ɔ̃
surestimé	s y ʁ ɛ s t i m e
surexcitaient	s y ʁ ɛ k s i t ɛ
surexcitait	s y ʁ ɛ k s i t ɛ
surexcitation	s y ʁ ɛ k s i t a s j ɔ̃
surexciter	s y ʁ ɛ k s i t e
surexcité	s y ʁ ɛ k s i t e
surexcitées	s y ʁ ɛ k s i t e
surexcités	s y ʁ ɛ k s i t e
surexpose	s y ʁ ɛ k s p ɔ z
surexposer	s y ʁ ɛ k s p o z e
surexposition	s y ʁ ɛ k s p ɔ z i s j ɔ̃
surf	s œ ʁ f
surface	s y ʁ f a s
surfaces	s y ʁ f a s
surfait	s y ʁ f ɛ
surfer	s œ ʁ f e
surfers	s œ ʁ f œ ʁ
surfeurs	s œ ʁ f œ ʁ
surfé	s œ ʁ f e
surgelé	s y ʁ ʒ ə l e
surgelés	s y ʁ ʒ ə l e
surgi	s y ʁ ʒ i
surgies	s y ʁ ʒ i
surgir	s y ʁ ʒ i ʁ
surgirait	s y ʁ ʒ i ʁ ɛ
surgissaient	s y ʁ ʒ i s ɛ
surgissait	s y ʁ ʒ i s ɛ
surgissant	s y ʁ ʒ i s ɑ̃
surgissent	s y ʁ ʒ i s
surgit	s y ʁ ʒ i
surhumain	s y ʁ y m ɛ̃
surhumaine	s y ʁ y m ɛ n
surhumaines	s y ʁ y m ɛ n
surhumains	s y ʁ y m ɛ̃
surimi	s y ʁ i m i
surin	s y ʁ ɛ̃
surinam	s y ʁ i n a m
suriner	s y ʁ i n e
surintendance	s y ʁ ɛ̃ t ɑ̃ d ɑ̃ s
surinvestit	s y ʁ ɛ̃ v ɛ s t i
surle-champ	s y ʁ l ʃ ɑ̃
surlendemain	s y ʁ l ɑ̃ d m ɛ̃
surligner	s y ʁ l i ɲ e
surloyer	s y ʁ l w a j e
surmenait	s y ʁ m ə n ɛ
surmenant	s y ʁ m ə n ɑ̃
surmenèh	s y ʁ m ə n ɛ
surmené	s y ʁ m ə n e
surmenée	s y ʁ m ə n e
surmonta	s y ʁ m ɔ̃ t a
surmontable	s y ʁ m ɔ̃ t a b l
surmontai	s y ʁ m ɔ̃ t e
surmontaient	s y ʁ m ɔ̃ t ɛ
surmontait	s y ʁ m ɔ̃ t ɛ
surmontant	s y ʁ m ɔ̃ t ɑ̃
surmonte	s y ʁ m ɔ̃ t
surmonter	s y ʁ m ɔ̃ t e
surmontes	s y ʁ m ɔ̃ t
surmonté	s y ʁ m ɔ̃ t e
surmontée	s y ʁ m ɔ̃ t e
surmontées	s y ʁ m ɔ̃ t e
surmontés	s y ʁ m ɔ̃ t e
surmulet	s y ʁ m y l ɛ
surmulets	s y ʁ m y l ɛ
surmédicalisation	s y ʁ m e d i k a l i z a s j ɔ̃
surnage	s y ʁ n a ʒ
surnageaient	s y ʁ n a ʒ ɛ
surnageait	s y ʁ n a ʒ ɛ
surnager	s y ʁ n a ʒ e
surnagerait	s y ʁ n a ʒ ə ʁ ɛ
surnagé	s y ʁ n a ʒ e
surnaturel	s y ʁ n a t y ʁ ɛ l
surnaturelle	s y ʁ n a t y ʁ ɛ l
surnaturelles	s y ʁ n a t y ʁ ɛ l
surnaturels	s y ʁ n a t y ʁ ɛ l
surnom	s y ʁ n ɔ̃
surnomme	s y ʁ n ɔ m
surnommer	s y ʁ n ɔ m e
surnommé	s y ʁ n ɔ m e
surnommée	s y ʁ n ɔ m e
surnoms	s y ʁ n ɔ̃
surnuméraire	s y ʁ n y m e ʁ ɛ ʁ
suroit	s y ʁ w a
suroît	s y ʁ w a
surpassa	s y ʁ p a s a
surpassaient	s y ʁ p a s ɛ
surpassait	s y ʁ p a s ɛ
surpasse	s y ʁ p a s
surpasser	s y ʁ p a s e
surpassé	s y ʁ p a s e
surpassés	s y ʁ p a s e
surperstition	s y ʁ p ɛ ʁ s t i s j ɔ̃
surplomb	s y ʁ p l ɔ̃
surplombait	s y ʁ p l ɔ̃ b ɛ
surplombantes	s y ʁ p l ɔ̃ b ɑ̃ t
surplombe	s y ʁ p l ɔ̃ b
surplombent	s y ʁ p l ɔ̃ b
surplus	s y ʁ p l y
surpopulation	s y ʁ p ɔ p y l a s j ɔ̃
surprenaient	s y ʁ p ʁ ə n ɛ
surprenais	s y ʁ p ʁ ə n ɛ
surprenait	s y ʁ p ʁ ə n ɛ
surprenant	s y ʁ p ʁ ə n ɑ̃
surprenante	s y ʁ p ʁ ə n ɑ̃ t
surprenantes	s y ʁ p ʁ ə n ɑ̃ t
surprend	s y ʁ p ʁ ɑ̃
surprendra	s y ʁ p ʁ ɑ̃ d ʁ a
surprendraient	s y ʁ p ʁ ɑ̃ d ʁ ɛ
surprendrait	s y ʁ p ʁ ɑ̃ d ʁ ɛ
surprendre	s y ʁ p ʁ ɑ̃ d ʁ
surprends	s y ʁ p ʁ ɑ̃
surprenez	s y ʁ p ʁ ə n e
surprenions	s y ʁ p ʁ ə n j ɔ̃
surprennent	s y ʁ p ʁ ɛ n
surprimes	s y ʁ p ʁ i m
surprirent	s y ʁ p ʁ i ʁ
surpris	s y ʁ p ʁ i
surpris-je	s y ʁ p ʁ i ʒ
surprise	s y ʁ p ʁ i z
surprise-partie	s y ʁ p ʁ i z p a ʁ t i
surprises	s y ʁ p ʁ i z
surprisse	s y ʁ p ʁ i s
surprit	s y ʁ p ʁ i
surproduction	s y ʁ p ʁ ɔ d y k s j ɔ̃
surprotégés	s y ʁ p ʁ ɔ t e ʒ e
surprîtes	s y ʁ p ʁ i t
surround	s y ʁ ʁ a u n d
surréalistes	s y ʁ ʁ e a l i s t
sursaturation	s y ʁ s a t y ʁ a s j ɔ̃
sursaut	s y ʁ s o
sursauta	s y ʁ s ɔ t a
sursautant	s y ʁ s ɔ t ɑ̃
sursaute	s y ʁ s ɔ t
sursauter	s y ʁ s o t e
sursauts	s y ʁ s ɔ
sursautée	s y ʁ s o t e
sursis	s y ʁ s i
surt	s y ʁ t
surtaxe	s y ʁ t a k s
surtaxes	s y ʁ t a k s
surtaxés	s y ʁ t a k s e
surtout	s y ʁ t u
surtransposition	s y ʁ t ʁ ɑ̃ s p ɔ z i s j ɔ̃
surv-surveillance	s y ʁ v s y ʁ v ɛ j ɑ̃ s
surveil	s y ʁ v ɛ j
surveilla	s y ʁ v e j a
surveillaient	s y ʁ v e j ɛ
surveillais	s y ʁ v e j ɛ
surveillait	s y ʁ v e j ɛ
surveillance	s y ʁ v ɛ j ɑ̃ s
surveillant	s y ʁ v e j ɑ̃
surveillante	s y ʁ v ɛ j ɑ̃ t
surveillantes	s y ʁ v ɛ j ɑ̃ t
surveillants	s y ʁ v ɛ j ɑ̃
surveille	s y ʁ v ɛ j
surveillent	s y ʁ v ɛ j
surveiller	s y ʁ v ɛ j e
surveillera	s y ʁ v ɛ j ə ʁ a
surveillerai	s y ʁ v ɛ j ə ʁ e
surveillerais	s y ʁ v ɛ j ə ʁ ɛ
surveilleras	s y ʁ v ɛ j ə ʁ a
surveilles	s y ʁ v ɛ j
surveillez	s y ʁ v ɛ j e
surveillèrent	s y ʁ v e j ɛ ʁ
surveillé	s y ʁ v ɛ j e
surveillée	s y ʁ v ɛ j e
surveillées	s y ʁ v ɛ j e
surveillés	s y ʁ v ɛ j e
survenaient	s y ʁ v ə n ɛ
survenait	s y ʁ v ə n ɛ
survenant	s y ʁ v ə n ɑ̃
survendre	s y ʁ v ɑ̃ d ʁ
survenir	s y ʁ v ə n i ʁ
survenu	s y ʁ v ə n y
survenue	s y ʁ v ə n y
survenus	s y ʁ v ə n y
survie	s y ʁ v i
surviendraient	s y ʁ v j ɛ̃ d ʁ ɛ
surviendrait	s y ʁ v j ɛ̃ d ʁ ɛ
survient	s y ʁ v j ɛ̃
survint	s y ʁ v ɛ̃
survit	s y ʁ v i
survivaient	s y ʁ v i v ɛ
survivait	s y ʁ v i v ɛ
survivant	s y ʁ v i v ɑ̃
survivantes	s y ʁ v i v ɑ̃ t
survivants	s y ʁ v i v ɑ̃
survive	s y ʁ v i v
survivra	s y ʁ v i v ʁ a
survivrait	s y ʁ v i v ʁ ɛ
survivre	s y ʁ v i v ʁ
survolté	s y ʁ v ɔ l t e
survolé	s y ʁ v ɔ l e
survécu	s y ʁ v e k y
survécut	s y ʁ v e k y
survêt	s y ʁ v ɛ
survêtement	s y ʁ v ɛ t ə m ɑ̃
surya	s y ʁ j a
surzur	s y ʁ z u ʁ
surélever	s y ʁ ɛ l v e
surélevé	s y ʁ e l ə v e
surélevée	s y ʁ e l ə v e
surélevés	s y ʁ e l ə v e
sus	s y s
sus-dites	s y s d i t
susanne	s y s a n
susbiste	s y s b i s t
susceptibilité	s y s ɛ p t i b i l i t e
susceptible	s y s ɛ p t i b l
susceptibles	s y s ɛ p t i b l
suscitaient	s y s i t ɛ
suscitant	s y s i t ɑ̃
suscite	s y s i t
susciter	s y s i t e
suscitera	s y s i t ə ʁ a
susciterait	s y s i t ə ʁ ɛ
suscites	s y s i t
suscité	s y s i t e
suscitée	s y s i t e
suscription	s y s k ʁ i p s j ɔ̃
susdit	s y s d i
susdite	s y s d i t
sushi	s u ʃ i
sushis	s u ʃ i
susini	s y z i n i
susmentionnées	s y s m ɑ̃ s j ɔ n e
suspect	s y s p ɛ
suspectait	s y s p ɛ k t ɛ
suspectant	s y s p ɛ k t ɑ̃
suspecte	s y s p ɛ k t
suspecter	s y s p ɛ k t e
suspectes	s y s p ɛ k t
suspects	s y s p ɛ
suspecté	s y s p ɛ k t e
suspend	s y s p ɑ̃
suspendaient	s y s p ɑ̃ d ɛ
suspendait	s y s p ɑ̃ d ɛ
suspendant	s y s p ɑ̃ d ɑ̃
suspendirent	s y s p ɑ̃ d i ʁ
suspendit	s y s p ɑ̃ d i
suspendit-il	s y s p ɑ̃ d i t i l
suspendraient	s y s p ɑ̃ d ʁ ɛ
suspendre	s y s p ɑ̃ d ʁ
suspends	s y s p ɑ̃
suspendu	s y s p ɑ̃ d y
suspendue	s y s p ɑ̃ d y
suspendues	s y s p ɑ̃ d y
suspendus	s y s p ɑ̃ d y
suspendîmes	s y s p ɑ̃ d i m
suspens	s y s p ɑ̃
suspenseur	s y s p ɑ̃ s œ ʁ
suspension	s y s p ɑ̃ s j ɔ̃
suspicion	s y s p i s j ɔ̃
sussat	s y s a
sustenter	s y s t ɑ̃ t e
sustenterais	s y s t ɑ̃ t ə ʁ ɛ
susurrait	s y s y ʁ ɛ
sut	s y
suteau	s u t o
sutr	s u
suture	s y t y ʁ
suwarow	s y w a ʁ o
suye	s y j
suzanne	s y z a n
suze	s y z
suze-la-rousse	s y z l a ʁ u s
suzy	s y z i
suçait	s y s ɛ
suçant	s y s ɑ̃
suède	s ɥ ɛ d
suèrent	s ɥ ɛ ʁ
suédois	s ɥ e d w a
suédoise	s ɥ e d w a z
svelte	s v ɛ l t
sveltes	z v ɛ l t
svt	ɛ s v e t e
swahili	s w a i l i
swantibore	s w a n t i b ɔ ʁ
swatow	s w a t o
sweat	s w ɛ t
sweat-shirt	s w ɛ t ʃ œ ʁ t
swin	s w i n
swing	s w i ŋ
swings	s w i ŋ
sword	s w ɔ ʁ
sy	s i
sybaris	s i b a ʁ i s
sybarites	s i b a ʁ i t
sybosy	s i b ɔ z i
sycomores	s i k ɔ m ɔ ʁ
sycorax	s i k ɔ ʁ a k s
sydney	s i d n ɛ
syl	s i l
syllabe	s i l a b
syllabes	s i l a b
syllabique	s i l a b i k
sylphe	s i l f
sylphes	s i l f
sylphide	s i l f i d
sylphidiques	s i l f i d i k
sylvain	s i l v ɛ̃
sylvaine	s i l v ɛ n
sylvains-les-moulins	s i l v ɛ̃ l e m u l i n
sylvaner	s i l v a n ɛ ʁ
sylvano	s i l v a n o
sylvestre	s i l v ɛ s t ʁ
sylviculture	s i l v i k y l t y ʁ
sylvie	s i l v i
sym	s ɛ̃
symbiose	s ɛ̃ b j o z
symbiotique	s ɛ̃ b j ɔ t i k
symbiotiques	s ɛ̃ b j ɔ t i k
symbole	s ɛ̃ b ɔ l
symboles	s ɛ̃ b ɔ l
symbolique	s ɛ̃ b o l i k
symboliquement	s ɛ̃ b o l i k m ɑ̃
symbolisait	s ɛ̃ b ɔ l i z ɛ
symbolise	s ɛ̃ b ɔ l i z
symbolisme	s ɛ̃ b ɔ l i s m
symo	s i m o
symp	s ɛ̃ p
sympa	s ɛ̃ p a
sympas	s ɛ̃ p a
sympathie	s ɛ̃ p a t i
sympathies	s ɛ̃ p a t i
sympathique	s ɛ̃ p a t i k
sympathiquement	s ɛ̃ p a t i k m ɑ̃
sympathiques	s ɛ̃ p a t i k
sympathisait	s ɛ̃ p a t i z ɛ
sympathisants	s ɛ̃ p a t i z ɑ̃
sympathise	s ɛ̃ p a t i z
sympathise-t-on	s ɛ̃ p a t i z t ɔ̃
sympathisent	s ɛ̃ p a t i z
sympathiser	s ɛ̃ p a t i z e
sympathisé	s ɛ̃ p a t i z e
sympatique	s ɛ̃ p a t i k
symphonie	s ɛ̃ f ɔ n i
symphor	s ɛ̃ f ɔ ʁ
symposium	s ɛ̃ p o z j ɔ m
symptomatique	s ɛ̃ p t ɔ m a t i k
symptomes	s ɛ̃ p t ɔ m
symptôme	s ɛ̃ p t o m
symptômes	s ɛ̃ p t ɔ m
symétrie	s i m e t ʁ i
symétrique	s i m e t ʁ i k
symétriquement	s i m e t ʁ i k m ɑ̃
syn	s ɛ̃
synagogue	s i n a ɡ ɔ ɡ
synchronisme	s ɛ̃ k ʁ ɔ n i s m
syncope	s ɛ̃ k ɔ p
syncopes	s ɛ̃ k ɔ p
syncrétisme	s ɛ̃ k ʁ e t i s m
syndic	s ɛ̃ d i k
syndica	s ɛ̃ d i k a
syndical	s ɛ̃ d i k a l
syndicale	s ɛ̃ d i k a l
syndicalement	s ɛ̃ d i k a l m ɑ̃
syndicales	s ɛ̃ d i k a l
syndicalise	s ɛ̃ d i k a l i z
syndicalisme	s ɛ̃ d i k a l i s m
syndicaliste	s ɛ̃ d i k a l i s t
syndicalistes	s ɛ̃ d i k a l i s t
